id	value
PROUD	492
BAD	492
AROUND	492
THOUSANDS	491
IMMIGRANTS	491
DEMOCRATS	491
ALMOST	491
@REALDONALDTRUMP.	491
@BERNIESANDERS:	491
—	489
BREAK	489
CHANGE	488
YEARS	487
SPEAK	487
STAND	486
SOMEONE	486
HTT…	486
BREAKING:	485
THEY'RE	484
BETTER	484
ANTI-SEMITISM	483
FIGHT	482
INTELLIGENCE	481
PRES.	480
PENCE	480
1	480
MONEY	479
HISTORY	477
🇺🇸	476
TELLS	474
"I	474
MELBOURNE	473
FALSE	473
WORDS	466
STAFF	466
HOPE	466
GOVERNMENT	465
TRUE	464
DICTATORS	463
W/	460
COMPANIES	460
IGNORE	457
@BRADDJAFFY:	454
FEEL	453
COMES	453
PRESIDENT.	452
FRANK	452
TOP	449
LADY	449
ANYONE	449
REFUGEES	448
GOES	448
CONGRESS	447
@EVAN_MCMULLIN:	446
EVERYONE	445
BEHIND	445
CHRIS	444
LITTLE	443
DIRECTLY	443
COMING	442
YET	441
JEWISH	441
PAY	439
TRUTH	437
OH	437
MEME	436
PRESIDENTIAL	435
LIBERAL	433
CIA	433
LOT	432
HAVING	431
RAPE	430
FACT	429
OFFICE	428
L…	427
@JUDDLEGUM:	427
SPENT	426
MICHAEL	426
NEXT	424
CLIMATE	423
SPOKE	421
REFUGEE	421
DAILY	420
CANNOT	420
ANNE	420
REPORTING	418
DEL	417
@ATINYTRUMP:	417
VIDEO:	416
TWO	416
FL	416
...	416
PEOPLE.	415
MILLIONS	415
CARE	415
TOLD	414
FEW	414
VOTE	413
POLICE	410
LINE	410
MEDIA,	409
ELECTION	406
AL	406
@NYTIMES:	406
AIR	402
THINKS	401
IDEA	401
SATER	400
BOWLING	400
USING	399
THERE'S	399
PARA	399
MSM	399
HEAR	399
OFFICIALS	398
@CNN:	398
PART	397
INHERITED	396
ADMIN	396
FULL	395
EXACTLY	395
COURSE	395
WITHOUT	394
REMARKS	393
FIRED	393
LARGE	390
"TRUMP	389
SECRET	388
PICTURE	387
WEEK	386
UNITED	386
MENTIONS	385
BETWEEN	385
LITERALLY	384
PROTESTERS	383
AGAIN.	383
PROTECT	381
MIGHT	381
6	381
OF…	380
LONG	379
START	376
SENATE	376
FAR	376
@YOUNGDEMS4TRUMP:	375
@GEORGETAKEI:	375
LEAVE	374
HEY	374
FIND	374
DISCUSSING	374
DAY,	372
COMMENTS	372
TRUMP…	371
RALLIES	371
COMMENT	371
BIGGEST	371
FAVORITE	370
END	370
KNEW	369
WALLACE	368
USE	368
WASHINGTON	367
WOMEN	365
SURE	365
.	365
VIEW	364
SEEN	364
MASSIVE	364
KILLED	364
5	364
10	364
#DONALDTRUMP	364
YOU.	363
EXECUTIVE	363
CHIEF	363
SUCH	361
SIGN	360
@STOPTRUMP2020:	360
MAYBE	358
BORDER	357
REFERENCE	356
MARCH	356
PAUL	354
ONCE	354
CURRENTLY	354
SWEDES	353
MASS	353
@STEVEKOPACK:	353
CONTRA	351
NEWS"	349
FOLLOW	349
#NEWS	349
USED	348
INSTEAD	348
ANGRY	347
REPORTER	346
FACE	346
#IMPEACHTRUMP	346
(VIDEO)	345
TWEET	344
PAYING	344
ORDER	344
@FLOTUS	344
RUNNING	343
UK	342
PPL	341
…	340
THOUGHT	339
@TEAPAINUSA:	339
PAID	338
C…	338
ALL…	338
#PRESIDENTTRUMP	338
ASK	337
OPEN	336
LO	336
SAVE	335
MATTER	335
BANNON	335
@THE_TRUMP_TRAIN:	335
HIMSELF	334
TRUMP"	333
CONFERENCE	333
#RUSSIAGATE	333
TRIP	332
BECOME	331
#TRUMPTRAIN	331
FLORIDA.	330
WORTH	329
UNDERSTAND	329
SPEAKS	329
OBAMA’S	329
GREEN	329
1ST	329
NATION	328
HOME	328
DANGEROUS	328
SPICER	327
H…	327
OBAMA'S	326
STEVE	325
LATEST	325
CENTER	325
FUCKING	324
@KURTEICHENWALD:	323
WEEKEND	322
RALLY,	322
UKRAINE	321
TV	321
CHICAGO	321
APPROVAL	320
REPORT:	319
MEN	319
LIE	319
MAJOR	318
"WE	318
SHOWS	317
QUESTION	317
MILITARY	317
ENTIRE	317
DEAR	317
@IMPL0RABLE:	317
WONDER	316
POST	316
INVESTIGATE	316
HARD	316
PARTY	315
ILLEGAL	315
OPPOSE	314
CABINET	314
WIN	313
SPREAD	313
LESS	313
DESTROY	313
BROADCAST	313
TERROR,	312
NEWS.	312
RALLY.	311
VOTER	309
SEEMS	309
SCALE	308
HUGE	308
DEBATE	307
THOUSAND	306
SANCTUARY	306
MESS	305
SEAMLESSLY	304
RUSSIANS	304
DEAL	304
SU	303
REMINDER	303
CONTINUE	303
AWAY	303
UP.	302
THREATS	302
"INCIDENT"	302
REPUBLICAN	301
WH	300
INVESTIGATION	299
ASKS	299
SIGNS	298
ATTACKING	298
VOTES	297
REASON	297
EVIDENCE	297
BILL	297
TAKES	296
OLD	296
MURDERS	296
--	296
SOURCE	295
LAS	295
J…	295
@REALDONALDTRUMP,	295
ANTI-SEMITIC	294
PHOTO	293
MESSAGE	293
“FAKE	292
TWEETED	292
RESISTANCE	291
ISIS	291
ELECTED	291
@MCSPOCKY:	291
@ABC	291
RUSSIA,	290
R	290
INTERVIEW	290
POWER	289
POTUS	289
MEAN	289
LOST	289
HOLD	289
POLICIES	288
CONCERNING	288
USA	287
GROUP	287
PERSON	286
OFFICIAL	286
RIOTS	285
RACIST	285
BILLION	285
BEAUTIFUL	285
UNTIL	284
PATHOLOGICAL	284
KNOWS	284
BREAKS	283
POLITICAL	282
PLACE	282
LIFT	282
HT…	282
FLORIDA,	282
ANYTHING	282
AGREE	282
WARNS	281
STATES	281
PRES	281
NICE	281
GEN.	281
FIRE	281
DEPORTATION	281
MR	280
LIED	280
IS…	280
CONTACT	280
BREITBART	280
LAWYER	279
YOU,	278
NONEXISTENT	278
ACTIONS	278
WATCHING	277
LEAST	277
PLANS	276
OUTSIDE	276
IM…	276
INDEPENDENT	275
ACROSS	275
LOOKING	274
HEARD	274
AFRICAN	274
#LASTNIGHTINSWEDEN	274
LES	273
CLUB	273
THANKS	272
HALF	272
SLAMS	271
JOURNALIST	271
I…	271
FUCK	271
BLESS	271
8	271
SCANDAL	270
#NOTMYPRESIDENTSDAY	270
MEDIA.	269
ADVISOR	269
#NOTTHEENEMY	269
STARTED	268
SAW	268
MIGRANT	268
APP	268
?	268
!	268
JOURNALISTS	267
@DINESHDSOUZA:	267
"DONALD	267
AREN'T	266
@NBCNEWS	266
@MITCHELLVII:	265
UR	264
TO…	264
MEET	264
FIGHTING	264
#NOTMYPRESIDENT	264
WON	263
TRY	263
RELIGIOUS	263
ASSOCIATES	263
#TRUMPLEAKS	261
@MMFLINT:	260
@KEITHOLBERMANN:	260
NOBODY	259
M…	259
MEANT	259
IN…	259
DEFENSE	259
TOTALITARIANISM	258
WEEKS	257
O	257
ENOUGH	257
BLACKS	257
SO-CALLED	256
PRIEBUS	256
MINISTER	256
STOCKHOLM	255
APPEARS	255
WHOLE	254
PRO…	254
KEY	254
FACTS	254
DENIAL	254
W	253
MEETING	251
MATTIS	251
SORRY	250
LIST	250
@IMPEACH_D_TRUMP	250
#TINYTRUMP	250
FUEL	249
CLAIM	249
À	248
SERVE	248
IT,	248
IMMIGRANT	248
IS?	247
DAD	247
BROUGHT	247
@BFRASER747:	247
SOBRE	245
LIAR,	245
THROUGH	244
POINT	244
MEMBERS	244
LEAKS	244
BRING	244
@REALJACK:	244
TRIPS	243
THREE	243
GEORGE	243
@MIKEL_JOLLETT:	243
YEAR.	242
SET	242
9,000	242
"A	242
STUPID	241
SPEAKING	241
DIFFERENT	241
ACTUAL	241
@ACLU:	241
YES,	240
WATCH:	240
MUSEUM	240
LIFE	240
@ALTSTATEDPT:	240
WASN'T	239
TURN	239
PROTESTS	239
EXPLAIN	239
DON’T	239
UKRAINIAN	238
NAMED	235
DEMOCRACY	235
CONWAY	235
#SWEDEN	235
PIECE	234
DAY.	234
ACT	234
