id	value
Swing_Puik	8
Sumenn7063	8
Singularity2039	8
SilkyinWa	8
SherriKuczeryk	8
ScoopDaa	8
Saya_relativity	8
RobertA87413263	8
ReginaUS_M4G4	8
RealTimeHack	8
RajeshIndolia	8
Politics_Info	8
NyanRage	8
NVPeople	8
MyraDSirois1	8
MsBless2013	8
MessBusterAK	8
MatuaJustin	8
MarketSenseiApp	8
MarkPare5	8
Marie5698766153	8
Marengel4	8
ManMet80	8
LucySullivan888	8
LoveStephanysco	8
Liveandlove333	8
Lillithtormenti	8
LabradorCat	8
LAsamurai27	8
KnowVidLeaks	8
KirbyK76403504	8
Kat4Obama	8
KSTksti	8
JulieCa92128716	8
Ingloriousbastr	8
GingerSpiceCin	8
FreddyRoo2	8
Fitness_nna	8
FansMelania_T	8
Eyes_of_justice	8
Elizabe21641277	8
Elisse_T	8
Earthshaker2016	8
Eamon0303	8
EP_EEUU	8
Drewtejano	8
Donald_JTrumpON	8
DemocracyFight	8
DebAlwaystrump	8
DIRTYYYSOUTH	8
Cwedding1	8
Cup_of_Joe2	8
ClubLoversTrump	8
CherokeeNative3	8
BrianPaulStuart	8
BillieO2	8
BetteGaeDart	8
Babe4Trumpx	8
AnnaAlvarez1992	8
AmericanMOM01	8
AllNewsTrump	8
AdamsFlaFan	8
zyiteblog	7
zenyatta1411	7
yuuji_K1	7
willie_c	7
walkileaks	7
vrai777	7
vmb0804	7
vistachick79	7
vainsovain	7
uzonnamichael	7
tomictees	7
thepoliticalcat	7
teakinrj	7
tantestrain	7
tammywalt61	7
swengenusa	7
suekhi	7
stephenbranham1	7
soulwhisper2016	7
skness5561	7
sistahonthemove	7
scbusy	7
satirist_indian	7
s_tnwanant	7
roqchrisy	7
rondetta13	7
rocky0413	7
rbmumsie	7
ramadeyrao	7
purrmonsta	7
pilipenko_veron	7
phendricks71	7
pattirmuller	7
pamgriffa	7
pam_houston	7
onlyfourth	7
ohiomail	7
obsessivelyMe	7
obannons19691	7
notiwebon	7
myredcar	7
mondayart1	7
mog7546	7
mmj6279	7
missjonieooaks	7
meechebucco	7
mckelvey_patti	7
mare_nicaj	7
magicdmw	7
lyan118	7
lonestartx1	7
loisroy72	7
lisa_simonetti	7
leighanne_swift	7
ledmondson39	7
knowlton_paula	7
kathy_sherrill	7
jtblogs	7
jonnygravity	7
jjtalko	7
jimmyhawk9	7
jenner1072	7
ikerepublican	7
holachola	7
hellbrat	7
girl_4_trump	7
girardslaw	7
flee8250aolcom	7
edgecrusher23	7
deecal102163	7
cristo_monte	7
connieSuver	7
christine081579	7
chrisatchs	7
chris63414391	7
carielesviolet2	7
cagney1991	7
bova_janet	7
booksbygin50	7
bfraser747	7
bannerite	7
bamilekeeavon	7
babysgramma	7
atruechula	7
applegherl	7
andreinadeep	7
akahemi	7
abbaeema41	7
_kaitlinOls_	7
_dpaj	7
__NgiNeThemba__	7
_ThePage	7
_JustTooMuch_	7
W_I_US	7
VideoKron	7
VanesDeplorable	7
VAnderson525	7
USATrumpPotus	7
USATodayNews247	7
Trump_Pence16	7
Trump_Commander	7
TottenBill	7
Tornadoturbine	7
TimberGhost7	7
TheTrump_Party	7
TheObamaphile	7
TZZToday	7
Syr829	7
SylviaZ1913	7
StopNuclearWar	7
Socratic1	7
SirLoinn	7
SinCityChrisS1	7
ShoshanaRuth98	7
SherryElser1	7
ShelleyBean01	7
SantosTrump	7
SagArcher	7
Rich_893	7
ReginaPeele	7
ReginaFee2	7
RachelNews2017	7
RACZPATT	7
QueenMaday	7
PesamobCom	7
PaxNostrum	7
PDQACCESSORIES	7
NostolobiRon	7
NiteniteMelissa	7
NewsInYourHands	7
Nate_ready2go	7
Nano_coin	7
NanddHer	7
NanaOxford	7
NYVV4LIFE	7
MundoNoticias32	7
MtinaMorgan	7
MsOCHubbard	7
MrMaidenform	7
MiriamUSA82	7
Merri__Magic	7
MarilynCapps	7
MMaria03146111	7
Louangie	7
LoonAuntie	7
LibsFor	7
LetHumanismRing	7
Kestrel7141	7
KashitaBraswell	7
KarlaMorrisonUS	7
KLivinthedream	7
Jupitarslight	7
JudyDeplorable	7
John132941831	7
JoeKoffee	7
JewsChooseTrump	7
JenTromans	7
Jeannie22757716	7
Janfrog1	7
JacquiUpNorth44	7
JAGHUNTERS	7
IntelliSecHUD	7
ImmoralReport	7
ILoveTrumps	7
Helens31Self	7
HawleysJadefav	7
Harley_Woody	7
GladysMramirezQ	7
Gift2USA	7
Gemma72432341	7
Gas8128	7
GaelicjennyL	7
FightingMad1	7
FerociousRedhe1	7
ErengwaM	7
EnriqueMFlores3	7
ElaineSowersby	7
DrRobertJud	7
Diva0065	7
DisTrumpia	7
Dimplenut	7
Dimanc59	7
DidiFrench	7
DianeOl20918490	7
Dheeraj8128	7
DesertWolfPS	7
DeplorableLyin	7
DeplorableDeep	7
DeathOverTrump	7
DagnyRed	7
ConcernedHigh	7
Cnelson7963	7
Bruchell1	7
BruceNorrisSr	7
Brigetta2	7
BerkleyBearNews	7
Belarisha	7
Bea_trump	7
BeKindOkk	7
BSAFunds	7
AvaAnneMarie	7
AndyQashou	7
AgitatorsNeeded	7
60sReno	7
53kalevasJanice	7
4laesperanza	7
22aspen36	7
zonja47405	6
willojean27	6
washumom	6
warp9scotty	6
wWnewsWw	6
vsansome	6
vision835	6
uspy2000	6
unlewis	6
ub109ej	6
twity_birdz	6
tweetpoliticsUS	6
tweetMalena	6
tullyframe	6
tulio1987	6
truth_pray	6
tmobrien2	6
timewarden1	6
timamadeusnasir	6
theresamax	6
the_win_today	6
theBillGrayson	6
talkNadvice	6
sweetheart75	6
sunneversets100	6
sunLow589	6
sumariumcom	6
suepeac	6
stilllwithher	6
stephan08347556	6
startupcrunch	6
sophire2500	6
softballscifi	6
skew11	6
simon_r_katz	6
sheriffali	6
shdtlz	6
shailendra_nair	6
saul42	6
sandykindfw1	6
sampson_elaine	6
rochshelly	6
reruam	6
raymondr52	6
rashidaldosari	6
ralphshields313	6
r26862	6
periodicovzlano	6
paulaLaffin	6
palinSMASH	6
openomroep	6
nutcrackermom	6
nudlesoop	6
norvilgirl	6
nonniejean3	6
nohumanillegal	6
nneusj	6
nikshmatko	6
nelaknight	6
narnie4	6
nancypeggy	6
nana5greatgrand	6
mochameo	6
mburkeen	6
margo94	6
lydililly	6
lulu_lemew	6
lovinabox	6
lollabees	6
ljellinek	6
lisaedwards63	6
lin7js	6
leoluminary	6
leblancweb	6
lakeemk	6
kitty62862	6
kindNotWeak2017	6
kheatherbrown	6
kerryav5	6
kenkircher1	6
kenfriend55	6
kenbright7	6
kate626	6
karolcummins	6
judyharless3	6
joannalampert1	6
jimenezana	6
jim_villhauer	6
jhjulian1956	6
jerankin	6
jcoro50947	6
jcoppenhaver	6
jatirado	6
janethawks	6
janeface15	6
janeeucraft	6
jamesbott007	6
jallnet12	6
jadegreen0987	6
izzie_adams2	6
icare4america16	6
iamthemimi65	6
hateGOP	6
hassankhe	6
hardhouz13	6
gumboqueen3030	6
grumpyoldman418	6
glennyork	6
gg4for	6
gerfingerpoken2	6
gerfingerpoken	6
garydailydrift	6
fwdcrocblu	6
fangpusskins	6
elizabeth28536	6
denisedr58	6
democracy_4	6
deejay90192	6
damnitahl	6
cueninja	6
cpaynejr1	6
citizenjo	6
chettayoda	6
chappie_cat	6
centsible	6
bresla_linda	6
beverlyNOTMYPRE	6
benfranklin2nd	6
babs85641	6
bOoo0oo	6
ayshamoolla	6
anotao_news	6
annejowrites	6
americanvoter21	6
airiters	6
adelaidebeatric	6
_dralaterdzo	6
ZarkoElDiablo	6
YahooTrending	6
YTrump1	6
YDanasmithdutra	6
WoJiangYou	6
WillSeattle	6
WhizChem	6
WaterflowerM	6
WallDesu	6
WOMEN4ACAUSE	6
VicLovesAnimals	6
Vi44	6
VedehiMajumdar	6
UKTodayTopNews	6
TyHyCHI	6
TrumpysTaxes	6
Trumponly	6
TrumpTrainOnly	6
TrumpFans2020	6
TrumpDynastyUSA	6
TrumpDirtyWord	6
TrumpChronicle1	6
TpsRapport	6
TomWellborn	6
Tinywillis3	6
TimerWashington	6
TigCook	6
The_Reporter24	6
TheKidJNel7	6
TheBFRoom	6
TenneyNaumer	6
TammyHuntley69	6
TXsnark7	6
TRUMP_PRESIPRES	6
THEFXR1	6
SuperDave629	6
Sparblack1213	6
SlizewskiEdwar1	6
Sheare_Bliss	6
ShareStation_3D	6
SharNeal	6
Semperfelix	6
Sativa888	6
SallySeafr	6
SalFan	6
RuthSorbello	6
Rossie_trump	6
RokinRobin	6
RobertCLemke	6
RiseUpAbove	6
Reporte24VE	6
RealVideoTank	6
RealTruNews2017	6
RclBD	6
RRRDontTreadOn	6
QxNews	6
PropOrNotApp	6
PolticsNewz	6
Political_218	6
Pirate_Life_	6
